username,repo_name,stars,repo_url
flutter,flutter,141000,https://github.com/flutter/flutter
justjavac,free-programming-books-zh_CN,92900,https://github.com/justjavac/free-programming-books-zh_CN
Genymobile,scrcpy,65400,https://github.com/Genymobile/scrcpy
Hack-with-Github,Awesome-Hacking,51100,https://github.com/Hack-with-Github/Awesome-Hacking
google,material-design-icons,45800,https://github.com/google/material-design-icons
wasabeef,awesome-android-ui,42700,https://github.com/wasabeef/awesome-android-ui
square,okhttp,42200,https://github.com/square/okhttp
android,architecture-samples,40800,https://github.com/android/architecture-samples
Solido,awesome-flutter,40600,https://github.com/Solido/awesome-flutter
PhilJay,MPAndroidChart,35100,https://github.com/PhilJay/MPAndroidChart
fastlane,fastlane,34900,https://github.com/fastlane/fastlane
airbnb,lottie-android,32800,https://github.com/airbnb/lottie-android
bumptech,glide,32600,https://github.com/bumptech/glide
shadowsocks,shadowsocks-android,32500,https://github.com/shadowsocks/shadowsocks-android
Trinea,android-open-project,30900,https://github.com/Trinea/android-open-project
Blankj,AndroidUtilCode,30800,https://github.com/Blankj/AndroidUtilCode
xitu,gold-miner,30700,https://github.com/xitu/gold-miner
bilibili,ijkplayer,30400,https://github.com/bilibili/ijkplayer
skylot,jadx,30200,https://github.com/skylot/jadx
laurent22,joplin,29800,https://github.com/laurent22/joplin
zxing,zxing,29600,https://github.com/zxing/zxing
codepath,android_guides,27800,https://github.com/codepath/android_guides
alibaba,fastjson,24400,https://github.com/alibaba/fastjson
scwang90,SmartRefreshLayout,23600,https://github.com/scwang90/SmartRefreshLayout
CymChad,BaseRecyclerViewAdapterHelper,22900,https://github.com/CymChad/BaseRecyclerViewAdapterHelper
react-native-elements,react-native-elements,22400,https://github.com/react-native-elements/react-native-elements
appwrite,appwrite,22200,https://github.com/appwrite/appwrite
google,iosched,21400,https://github.com/google/iosched
quasarframework,quasar,21300,https://github.com/quasarframework/quasar
libgdx,libgdx,20000,https://github.com/libgdx/libgdx
