username,repo_name,stars,repo_url
justjavac,free-programming-books-zh_CN,92900,https://github.com/justjavac/free-programming-books-zh_CN
angular,angular,81500,https://github.com/angular/angular
storybookjs,storybook,71100,https://github.com/storybookjs/storybook
leonardomso,33-js-concepts,49100,https://github.com/leonardomso/33-js-concepts
ionic-team,ionic-framework,47200,https://github.com/ionic-team/ionic-framework
prettier,prettier,42700,https://github.com/prettier/prettier
SheetJS,sheetjs,30200,https://github.com/SheetJS/sheetjs
angular,angular-cli,25400,https://github.com/angular/angular-cli
angular,components,22700,https://github.com/angular/components
jhipster,generator-jhipster,19500,https://github.com/jhipster/generator-jhipster
goldbergyoni,javascript-testing-best-practices,17600,https://github.com/goldbergyoni/javascript-testing-best-practices
pubkey,rxdb,17500,https://github.com/pubkey/rxdb
handsontable,handsontable,16600,https://github.com/handsontable/handsontable
teambit,bit,15200,https://github.com/teambit/bit
sweetalert2,sweetalert2,14600,https://github.com/sweetalert2/sweetalert2
nrwl,nx,12700,https://github.com/nrwl/nx
linnovate,mean,12100,https://github.com/linnovate/mean
codesandbox,codesandbox-client,11600,https://github.com/codesandbox/codesandbox-client
Chocobozzz,PeerTube,10700,https://github.com/Chocobozzz/PeerTube
PatrickJS,angular-starter,10400,https://github.com/PatrickJS/angular-starter
sudheerj,javascript-interview-questions,9900,https://github.com/sudheerj/javascript-interview-questions
angular,protractor,8800,https://github.com/angular/protractor
dotansimha,graphql-code-generator,8700,https://github.com/dotansimha/graphql-code-generator
jasontaylordev,CleanArchitecture,8600,https://github.com/jasontaylordev/CleanArchitecture
OnsenUI,OnsenUI,8600,https://github.com/OnsenUI/OnsenUI
ag-grid,ag-grid,8400,https://github.com/ag-grid/ag-grid
PatrickJS,awesome-angular,8300,https://github.com/PatrickJS/awesome-angular
NG-ZORRO,ng-zorro-antd,8100,https://github.com/NG-ZORRO/ng-zorro-antd
text-mask,text-mask,8100,https://github.com/text-mask/text-mask
abpframework,abp,8000,https://github.com/abpframework/abp
