username,repo_name,stars,repo_url
CyC2018,CS-Notes,151000,https://github.com/CyC2018/CS-Notes
practical-tutorials,project-based-learning,68000,https://github.com/practical-tutorials/project-based-learning
azl397985856,leetcode,48000,https://github.com/azl397985856/leetcode
x64dbg,x64dbg,38500,https://github.com/x64dbg/x64dbg
fffaraz,awesome-cpp,37500,https://github.com/fffaraz/awesome-cpp
youngyangyang04,leetcode-master,26900,https://github.com/youngyangyang04/leetcode-master
microsoft,calculator,24800,https://github.com/microsoft/calculator
huihut,interview,24200,https://github.com/huihut/interview
CMU-Perceptual-Computing-Lab,openpose,24200,https://github.com/CMU-Perceptual-Computing-Lab/openpose
yuzu-emu,yuzu,20300,https://github.com/yuzu-emu/yuzu
TheAlgorithms,C-Plus-Plus,19400,https://github.com/TheAlgorithms/C-Plus-Plus
changkun,modern-cpp-tutorial,17400,https://github.com/changkun/modern-cpp-tutorial
ethereum,solidity,16800,https://github.com/ethereum/solidity
microsoft,vcpkg,15800,https://github.com/microsoft/vcpkg
catchorg,Catch2,15100,https://github.com/catchorg/Catch2
gabime,spdlog,14600,https://github.com/gabime/spdlog
doocs,leetcode,14100,https://github.com/doocs/leetcode
ssloy,tinyrenderer,13700,https://github.com/ssloy/tinyrenderer
Qv2ray,Qv2ray,13700,https://github.com/Qv2ray/Qv2ray
facebook,infer,13300,https://github.com/facebook/infer
google,tink,12400,https://github.com/google/tink
kyleneideck,BackgroundMusic,11400,https://github.com/kyleneideck/BackgroundMusic
compiler-explorer,compiler-explorer,10700,https://github.com/compiler-explorer/compiler-explorer
OpenRCT2,OpenRCT2,10600,https://github.com/OpenRCT2/OpenRCT2
polybar,polybar,10500,https://github.com/polybar/polybar
microsoft,IoT-For-Beginners,10100,https://github.com/microsoft/IoT-For-Beginners
typesense,typesense,9900,https://github.com/typesense/typesense
Ciphey,Ciphey,9900,https://github.com/Ciphey/Ciphey
hmemcpy,milewski-ctfp-pdf,9400,https://github.com/hmemcpy/milewski-ctfp-pdf
dolphin-emu,dolphin,8600,https://github.com/dolphin-emu/dolphin
