username,repo_name,stars,repo_url
ohmyzsh,ohmyzsh,145000,https://github.com/ohmyzsh/ohmyzsh
junegunn,fzf,44500,https://github.com/junegunn/fzf
sharkdp,bat,34600,https://github.com/sharkdp/bat
wagoodman,dive,32000,https://github.com/wagoodman/dive
sherlock-project,sherlock,31600,https://github.com/sherlock-project/sherlock
google,zx,31200,https://github.com/google/zx
BurntSushi,ripgrep,31100,https://github.com/BurntSushi/ripgrep
chubin,cheat.sh,29200,https://github.com/chubin/cheat.sh
cli,cli,28600,https://github.com/cli/cli
jesseduffield,lazygit,27500,https://github.com/jesseduffield/lazygit
spf13,cobra,26700,https://github.com/spf13/cobra
angular,angular-cli,25400,https://github.com/angular/angular-cli
alebcay,awesome-shell,23600,https://github.com/alebcay/awesome-shell
sharkdp,fd,22800,https://github.com/sharkdp/fd
ibraheemdev,modern-unix,22600,https://github.com/ibraheemdev/modern-unix
n8n-io,n8n,22500,https://github.com/n8n-io/n8n
google,python-fire,22400,https://github.com/google/python-fire
httpie,httpie,21500,https://github.com/httpie/httpie
vercel,pkg,21200,https://github.com/vercel/pkg
avajs,ava,19800,https://github.com/avajs/ava
chalk,chalk,18500,https://github.com/chalk/chalk
vadimdemedes,ink,18400,https://github.com/vadimdemedes/ink
urfave,cli,18300,https://github.com/urfave/cli
withfig,autocomplete,18000,https://github.com/withfig/autocomplete
svg,svgo,17700,https://github.com/svg/svgo
gpakosz,.tmux,16600,https://github.com/gpakosz/.tmux
allinurl,goaccess,14700,https://github.com/allinurl/goaccess
asdf-vm,asdf,14500,https://github.com/asdf-vm/asdf
antonmedv,fx,14300,https://github.com/antonmedv/fx
jarun,nnn,14200,https://github.com/jarun/nnn
