username,repo_name,stars,repo_url
localstack,localstack,41000,https://github.com/localstack/localstack
harness,drone,25000,https://github.com/harness/drone
jenkinsci,jenkins,18900,https://github.com/jenkinsci/jenkins
auchenberg,volkswagen,12300,https://github.com/auchenberg/volkswagen
openshift,origin,8100,https://github.com/openshift/origin
theonedev,onedev,7600,https://github.com/theonedev/onedev
gocd,gocd,6500,https://github.com/gocd/gocd
concourse,concourse,6300,https://github.com/concourse/concourse
jenkins-x,jx,4200,https://github.com/jenkins-x/jx
ovh,cds,3900,https://github.com/ovh/cds
cake-build,cake,3300,https://github.com/cake-build/cake
werf,werf,3100,https://github.com/werf/werf
JamesIves,github-pages-deploy-action,2900,https://github.com/JamesIves/github-pages-deploy-action
shivammathur,setup-php,2100,https://github.com/shivammathur/setup-php
Flagsmith,flagsmith,1700,https://github.com/Flagsmith/flagsmith
bors-ng,bors-ng,1300,https://github.com/bors-ng/bors-ng
Piplin,Piplin,1000,https://github.com/Piplin/Piplin
filipdutescu,modern-cpp-template,1000,https://github.com/filipdutescu/modern-cpp-template
agola-io,agola,1000,https://github.com/agola-io/agola
stepchowfun,toast,1000,https://github.com/stepchowfun/toast
caicloud,cyclone,1000,https://github.com/caicloud/cyclone
thyrlian,AndroidSDK,974,https://github.com/thyrlian/AndroidSDK
MewX,light-novel-library_Wenku8_Android,959,https://github.com/MewX/light-novel-library_Wenku8_Android
screwdriver-cd,screwdriver,934,https://github.com/screwdriver-cd/screwdriver
jin,awesome-bazel,837,https://github.com/jin/awesome-bazel
xolvio,chimp,789,https://github.com/xolvio/chimp
dotnetcore,FlubuCore,791,https://github.com/dotnetcore/FlubuCore
pycontribs,jenkinsapi,784,https://github.com/pycontribs/jenkinsapi
geerlingguy,ansible-role-jenkins,749,https://github.com/geerlingguy/ansible-role-jenkins
jan-molak,jenkins-build-monitor-plugin,711,https://github.com/jan-molak/jenkins-build-monitor-plugin
